system,case,expected_violation,detected_violation,operator
HACS,clean-1,false,false,clean-variant
HACS,clean-2,false,false,clean-variant
HACS,clean-3,false,false,clean-variant
HACS,clean-4,false,false,clean-variant
HACS,clean-5,false,false,clean-variant
HACS,clean-6,false,false,clean-variant
HACS,clean-7,false,false,clean-variant
HACS,clean-8,false,false,clean-variant
HACS,clean-9,false,false,clean-variant
HACS,clean-10,false,false,clean-variant
HACS,clean-11,false,false,clean-variant
HACS,clean-12,false,false,clean-variant
HACS,clean-13,false,false,clean-variant
HACS,clean-14,false,false,clean-variant
HACS,clean-15,false,false,clean-variant
HACS,clean-16,false,false,clean-variant
HACS,clean-17,false,false,clean-variant
HACS,clean-18,false,false,clean-variant
HACS,clean-19,false,false,clean-variant
HACS,clean-20,false,false,clean-variant
HACS,clean-21,false,false,clean-variant
HACS,clean-22,false,false,clean-variant
HACS,clean-23,false,false,clean-variant
HACS,clean-24,false,false,clean-variant
HACS,clean-25,false,false,clean-variant
HACS,clean-26,false,false,clean-variant
HACS,clean-27,false,false,clean-variant
HACS,clean-28,false,false,clean-variant
HACS,clean-29,false,false,clean-variant
HACS,clean-30,false,false,clean-variant
HACS,effect-inversion-1,true,true,effect-inversion
HACS,effect-inversion-2,true,true,effect-inversion
HACS,effect-inversion-3,true,true,effect-inversion
HACS,effect-inversion-4,true,true,effect-inversion
HACS,effect-inversion-5,true,true,effect-inversion
HACS,effect-inversion-6,true,true,effect-inversion
HACS,effect-inversion-7,true,true,effect-inversion
HACS,effect-inversion-8,true,true,effect-inversion
HACS,effect-inversion-9,true,true,effect-inversion
HACS,effect-inversion-10,true,true,effect-inversion
HACS,missing-rule-1,true,true,missing-rule
HACS,missing-rule-2,true,true,missing-rule
HACS,missing-rule-3,true,true,missing-rule
HACS,missing-rule-4,true,true,missing-rule
HACS,missing-rule-5,true,true,missing-rule
HACS,missing-rule-6,true,true,missing-rule
HACS,missing-rule-7,true,true,missing-rule
HACS,missing-rule-8,true,true,missing-rule
HACS,missing-rule-9,true,true,missing-rule
HACS,missing-rule-10,true,true,missing-rule
HACS,wrong-subject-1,true,true,wrong-subject
HACS,wrong-subject-2,true,true,wrong-subject
HACS,wrong-subject-3,true,true,wrong-subject
HACS,wrong-subject-4,true,true,wrong-subject
HACS,wrong-subject-5,true,true,wrong-subject
HACS,wrong-subject-6,true,true,wrong-subject
HACS,wrong-subject-7,true,true,wrong-subject
HACS,wrong-subject-8,true,true,wrong-subject
HACS,wrong-subject-9,true,true,wrong-subject
HACS,wrong-subject-10,true,true,wrong-subject
HACS,wrong-resource-1,true,true,wrong-resource
HACS,wrong-resource-2,true,true,wrong-resource
HACS,wrong-resource-3,true,true,wrong-resource
HACS,wrong-resource-4,true,true,wrong-resource
HACS,wrong-resource-5,true,true,wrong-resource
HACS,wrong-resource-6,true,true,wrong-resource
HACS,wrong-resource-7,true,true,wrong-resource
HACS,wrong-resource-8,true,true,wrong-resource
HACS,wrong-resource-9,true,true,wrong-resource
HACS,wrong-resource-10,true,true,wrong-resource
HACS,wrong-action-1,true,true,wrong-action
HACS,wrong-action-2,true,true,wrong-action
HACS,wrong-action-3,true,true,wrong-action
HACS,wrong-action-4,true,true,wrong-action
HACS,wrong-action-5,true,true,wrong-action
HACS,wrong-action-6,true,true,wrong-action
HACS,wrong-action-7,true,true,wrong-action
HACS,wrong-action-8,true,true,wrong-action
HACS,wrong-action-9,true,true,wrong-action
HACS,wrong-action-10,true,true,wrong-action
HACS,extra-unauthorized-1,true,true,extra-unauthorized
HACS,extra-unauthorized-2,true,true,extra-unauthorized
HACS,extra-unauthorized-3,true,true,extra-unauthorized
HACS,extra-unauthorized-4,true,true,extra-unauthorized
HACS,extra-unauthorized-5,true,true,extra-unauthorized
HACS,extra-unauthorized-6,true,true,extra-unauthorized
HACS,extra-unauthorized-7,true,true,extra-unauthorized
HACS,extra-unauthorized-8,true,true,extra-unauthorized
HACS,extra-unauthorized-9,true,true,extra-unauthorized
HACS,extra-unauthorized-10,true,true,extra-unauthorized
FMS,clean-1,false,false,clean-variant
FMS,clean-2,false,false,clean-variant
FMS,clean-3,false,false,clean-variant
FMS,clean-4,false,false,clean-variant
FMS,clean-5,false,false,clean-variant
FMS,clean-6,false,false,clean-variant
FMS,clean-7,false,false,clean-variant
FMS,clean-8,false,false,clean-variant
FMS,clean-9,false,false,clean-variant
FMS,clean-10,false,false,clean-variant
FMS,clean-11,false,false,clean-variant
FMS,clean-12,false,false,clean-variant
FMS,clean-13,false,false,clean-variant
FMS,clean-14,false,false,clean-variant
FMS,clean-15,false,false,clean-variant
FMS,clean-16,false,false,clean-variant
FMS,clean-17,false,false,clean-variant
FMS,clean-18,false,false,clean-variant
FMS,clean-19,false,false,clean-variant
FMS,clean-20,false,false,clean-variant
FMS,clean-21,false,false,clean-variant
FMS,clean-22,false,false,clean-variant
FMS,clean-23,false,false,clean-variant
FMS,clean-24,false,false,clean-variant
FMS,clean-25,false,false,clean-variant
FMS,clean-26,false,false,clean-variant
FMS,clean-27,false,false,clean-variant
FMS,clean-28,false,false,clean-variant
FMS,clean-29,false,false,clean-variant
FMS,clean-30,false,false,clean-variant
FMS,effect-inversion-1,true,true,effect-inversion
FMS,effect-inversion-2,true,true,effect-inversion
FMS,effect-inversion-3,true,true,effect-inversion
FMS,effect-inversion-4,true,true,effect-inversion
FMS,effect-inversion-5,true,true,effect-inversion
FMS,effect-inversion-6,true,true,effect-inversion
FMS,effect-inversion-7,true,true,effect-inversion
FMS,effect-inversion-8,true,true,effect-inversion
FMS,effect-inversion-9,true,true,effect-inversion
FMS,effect-inversion-10,true,true,effect-inversion
FMS,missing-rule-1,true,true,missing-rule
FMS,missing-rule-2,true,true,missing-rule
FMS,missing-rule-3,true,true,missing-rule
FMS,missing-rule-4,true,true,missing-rule
FMS,missing-rule-5,true,true,missing-rule
FMS,missing-rule-6,true,true,missing-rule
FMS,missing-rule-7,true,true,missing-rule
FMS,missing-rule-8,true,true,missing-rule
FMS,missing-rule-9,true,true,missing-rule
FMS,missing-rule-10,true,true,missing-rule
FMS,wrong-subject-1,true,true,wrong-subject
FMS,wrong-subject-2,true,true,wrong-subject
FMS,wrong-subject-3,true,true,wrong-subject
FMS,wrong-subject-4,true,true,wrong-subject
FMS,wrong-subject-5,true,true,wrong-subject
FMS,wrong-subject-6,true,true,wrong-subject
FMS,wrong-subject-7,true,true,wrong-subject
FMS,wrong-subject-8,true,true,wrong-subject
FMS,wrong-subject-9,true,true,wrong-subject
FMS,wrong-subject-10,true,true,wrong-subject
FMS,wrong-resource-1,true,true,wrong-resource
FMS,wrong-resource-2,true,true,wrong-resource
FMS,wrong-resource-3,true,true,wrong-resource
FMS,wrong-resource-4,true,true,wrong-resource
FMS,wrong-resource-5,true,true,wrong-resource
FMS,wrong-resource-6,true,true,wrong-resource
FMS,wrong-resource-7,true,true,wrong-resource
FMS,wrong-resource-8,true,true,wrong-resource
FMS,wrong-resource-9,true,true,wrong-resource
FMS,wrong-resource-10,true,true,wrong-resource
FMS,wrong-action-1,true,true,wrong-action
FMS,wrong-action-2,true,true,wrong-action
FMS,wrong-action-3,true,true,wrong-action
FMS,wrong-action-4,true,true,wrong-action
FMS,wrong-action-5,true,true,wrong-action
FMS,wrong-action-6,true,true,wrong-action
FMS,wrong-action-7,true,true,wrong-action
FMS,wrong-action-8,true,true,wrong-action
FMS,wrong-action-9,true,true,wrong-action
FMS,wrong-action-10,true,true,wrong-action
FMS,extra-unauthorized-1,true,true,extra-unauthorized
FMS,extra-unauthorized-2,true,true,extra-unauthorized
FMS,extra-unauthorized-3,true,true,extra-unauthorized
FMS,extra-unauthorized-4,true,true,extra-unauthorized
FMS,extra-unauthorized-5,true,true,extra-unauthorized
FMS,extra-unauthorized-6,true,true,extra-unauthorized
FMS,extra-unauthorized-7,true,true,extra-unauthorized
FMS,extra-unauthorized-8,true,true,extra-unauthorized
FMS,extra-unauthorized-9,true,true,extra-unauthorized
FMS,extra-unauthorized-10,true,true,extra-unauthorized
SIS,clean-1,false,false,clean-variant
SIS,clean-2,false,false,clean-variant
SIS,clean-3,false,false,clean-variant
SIS,clean-4,false,false,clean-variant
SIS,clean-5,false,false,clean-variant
SIS,clean-6,false,false,clean-variant
SIS,clean-7,false,false,clean-variant
SIS,clean-8,false,false,clean-variant
SIS,clean-9,false,false,clean-variant
SIS,clean-10,false,false,clean-variant
SIS,clean-11,false,false,clean-variant
SIS,clean-12,false,false,clean-variant
SIS,clean-13,false,false,clean-variant
SIS,clean-14,false,false,clean-variant
